# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381640232797e-10       4.152927174450e-15       3.510002382055e-13       2.312764185393e-19       8.239868449469e-09       4.533136774808e-10      -1.835439925553e-12 
    3       1.306720257019e-10       5.316218112460e-15       3.941489894286e-13       4.626477175730e-19       5.061264059790e-09       3.217411547231e-10      -1.389506002496e-12 
    4       1.236088389882e-10       4.594392661425e-15       3.684736540308e-13       7.712884798365e-19       3.523108044757e-09       2.437447349413e-10      -9.089270745827e-13 
    5       1.183221610061e-10       3.063408559101e-15       3.137562474031e-13       1.157319993399e-18       2.632324410396e-09       1.925608014336e-10      -5.046521555075e-13 
    6       1.146977688407e-10       1.713046171005e-15       2.527000157663e-13       1.620889503696e-18       2.057795607605e-09       1.566818746193e-10      -2.070566487450e-13 
    7       1.123362355294e-10       9.271299409270e-16       1.984670800897e-13       2.162167499364e-18       1.661194299775e-09       1.303509110495e-10      -1.741564645080e-14 
    8       1.109586216650e-10       6.000729307986e-16       1.567821846521e-13       2.781344641766e-18       1.373380601990e-09       1.103896443440e-10       7.921342126504e-14 
    9       1.103161958903e-10       4.830627339278e-16       1.288965914395e-13       3.478628428774e-18       1.156457883434e-09       9.490338002046e-11       1.060979869222e-13 
   10       1.101792802885e-10       4.127107732188e-16       1.134851511105e-13       4.254239689825e-18       9.882955874220e-10       8.263725073280e-11       8.899440956132e-14 
   11       1.104887069645e-10       3.479913826583e-16       1.078939193908e-13       5.108409012231e-18       8.333857585211e-10       7.300110343592e-11       5.190438998255e-14 
   12       1.110931081852e-10       3.044700060693e-16       1.090902961580e-13       6.041373198310e-18       7.283537143566e-10       6.455215408827e-11       1.232459640229e-14 
   13       1.119421992640e-10       2.930911117057e-16       1.143922801562e-13       7.053371848995e-18       6.421120926212e-10       5.769185379788e-11      -1.781622003904e-14 
   14       1.129887420071e-10       3.059908135521e-16       1.217956053270e-13       8.144644162474e-18       5.703448251098e-10       5.171760095874e-11      -3.429236388086e-14 
   15       1.142190980565e-10       3.314996122568e-16       1.300303512375e-13       9.315426026313e-18       5.099230797133e-10       4.669158351984e-11      -3.729700003405e-14 
   16       1.155581860552e-10       3.671259554538e-16       1.384052381129e-13       1.056594746889e-17       4.585406060871e-10       4.235725811013e-11      -3.075523992442e-14 
   17       1.170337405746e-10       4.183600926790e-16       1.467402890833e-13       1.189643052129e-17       4.144550116945e-10       3.857253825992e-11      -1.983781644277e-14 
   18       1.185824766569e-10       4.905450996913e-16       1.552732079331e-13       1.330708734654e-17       3.761845052120e-10       3.527092170236e-11      -9.427864474374e-15 
   19       1.202157332980e-10       5.840027828471e-16       1.642034180788e-13       1.479811990054e-17       3.431238695720e-10       3.240629621929e-11      -2.117633047688e-15 
   20       1.219264015771e-10       6.967658901060e-16       1.736601312805e-13       1.636971718975e-17       3.140009921721e-10       2.986416895689e-11       3.989811892352e-16 
   21       1.237158922502e-10       8.282224528374e-16       1.836205587633e-13       1.802205771585e-17       2.883598569747e-10       2.759855888517e-11      -1.301787493095e-15 
   22       1.255579865591e-10       9.779157792136e-16       1.939312358896e-13       1.975530647045e-17       2.655883601784e-10       2.555237848203e-11      -5.470657134827e-15 
   23       1.274575090395e-10       1.146063922912e-15       2.042520466500e-13       2.156961879193e-17       2.453744887549e-10       2.371625616976e-11      -1.038824426525e-14 
   24       1.294081105102e-10       1.332913492202e-15       2.141401695310e-13       2.346513730753e-17       2.272520476310e-10       2.207273926926e-11      -1.422824252127e-14 
   25       1.314118864218e-10       1.538563452437e-15       2.233015457354e-13       2.544199744584e-17       2.110085460886e-10       2.060103547041e-11      -1.615694483253e-14 
   26       1.334577321894e-10       1.763291238627e-15       2.314938384654e-13       2.750032375107e-17       1.963505990790e-10       1.926507261702e-11      -1.582674369720e-14 
